"","Entrez","Pathway","SYMBOL"
"mmu04620 Toll-like receptor signaling pathway44","18707","Toll-like receptor signaling pathway","Pik3cd"
"mmu04620 Toll-like receptor signaling pathway45","18708","Toll-like receptor signaling pathway","Pik3r1"
"mmu04620 Toll-like receptor signaling pathway46","18709","Toll-like receptor signaling pathway","Pik3r2"
"mmu04620 Toll-like receptor signaling pathway47","18710","Toll-like receptor signaling pathway","Pik3r3"
"mmu04620 Toll-like receptor signaling pathway48","19094","Toll-like receptor signaling pathway","Mapk11"
"mmu04620 Toll-like receptor signaling pathway49","19353","Toll-like receptor signaling pathway","Rac1"
"mmu04620 Toll-like receptor signaling pathway50","19697","Toll-like receptor signaling pathway","Rela"
"mmu04620 Toll-like receptor signaling pathway51","19766","Toll-like receptor signaling pathway","Ripk1"
"mmu04620 Toll-like receptor signaling pathway52","20302","Toll-like receptor signaling pathway","Ccl3"
"mmu04620 Toll-like receptor signaling pathway53","20303","Toll-like receptor signaling pathway","Ccl4"
"mmu04620 Toll-like receptor signaling pathway54","20304","Toll-like receptor signaling pathway","Ccl5"
"mmu04620 Toll-like receptor signaling pathway55","20750","Toll-like receptor signaling pathway","Spp1"
"mmu04620 Toll-like receptor signaling pathway56","20846","Toll-like receptor signaling pathway","Stat1"
"mmu04620 Toll-like receptor signaling pathway57","21897","Toll-like receptor signaling pathway","Tlr1"
"mmu04620 Toll-like receptor signaling pathway58","21898","Toll-like receptor signaling pathway","Tlr4"
"mmu04620 Toll-like receptor signaling pathway59","21899","Toll-like receptor signaling pathway","Tlr6"
"mmu04620 Toll-like receptor signaling pathway60","21926","Toll-like receptor signaling pathway","Tnf"
"mmu04620 Toll-like receptor signaling pathway61","21939","Toll-like receptor signaling pathway","Cd40"
"mmu04620 Toll-like receptor signaling pathway62","22031","Toll-like receptor signaling pathway","Traf3"
"mmu04620 Toll-like receptor signaling pathway63","22034","Toll-like receptor signaling pathway","Traf6"
"mmu04620 Toll-like receptor signaling pathway64","225471","Toll-like receptor signaling pathway","Ticam2"
"mmu04620 Toll-like receptor signaling pathway65","230396","Toll-like receptor signaling pathway","Ifna13"
"mmu04620 Toll-like receptor signaling pathway66","230398","Toll-like receptor signaling pathway","Ifna16"
"mmu04620 Toll-like receptor signaling pathway67","23797","Toll-like receptor signaling pathway","Akt3"
"mmu04620 Toll-like receptor signaling pathway68","24088","Toll-like receptor signaling pathway","Tlr2"
"mmu04620 Toll-like receptor signaling pathway69","242517","Toll-like receptor signaling pathway","Ifna15"
"mmu04620 Toll-like receptor signaling pathway70","242519","Toll-like receptor signaling pathway","Ifna12"
"mmu04620 Toll-like receptor signaling pathway71","26395","Toll-like receptor signaling pathway","Map2k1"
"mmu04620 Toll-like receptor signaling pathway72","26396","Toll-like receptor signaling pathway","Map2k2"
"mmu04620 Toll-like receptor signaling pathway73","26397","Toll-like receptor signaling pathway","Map2k3"
"mmu04620 Toll-like receptor signaling pathway74","26398","Toll-like receptor signaling pathway","Map2k4"
"mmu04620 Toll-like receptor signaling pathway75","26399","Toll-like receptor signaling pathway","Map2k6"
"mmu04620 Toll-like receptor signaling pathway76","26400","Toll-like receptor signaling pathway","Map2k7"
"mmu04620 Toll-like receptor signaling pathway77","26409","Toll-like receptor signaling pathway","Map3k7"
"mmu04620 Toll-like receptor signaling pathway78","26410","Toll-like receptor signaling pathway","Map3k8"
"mmu04620 Toll-like receptor signaling pathway79","26413","Toll-like receptor signaling pathway","Mapk1"
"mmu04620 Toll-like receptor signaling pathway80","26414","Toll-like receptor signaling pathway","Mapk10"
"mmu04620 Toll-like receptor signaling pathway81","26415","Toll-like receptor signaling pathway","Mapk13"
"mmu04620 Toll-like receptor signaling pathway82","26416","Toll-like receptor signaling pathway","Mapk14"
"mmu04620 Toll-like receptor signaling pathway83","26417","Toll-like receptor signaling pathway","Mapk3"
"mmu04620 Toll-like receptor signaling pathway84","26419","Toll-like receptor signaling pathway","Mapk8"
"mmu04620 Toll-like receptor signaling pathway85","26420","Toll-like receptor signaling pathway","Mapk9"
"mmu04620 Toll-like receptor signaling pathway86","266632","Toll-like receptor signaling pathway","Irak4"
"mmu04620 Toll-like receptor signaling pathway87","27056","Toll-like receptor signaling pathway","Irf5"
"mmu04620 Toll-like receptor signaling pathway88","29857","Toll-like receptor signaling pathway","Mapk12"
"mmu04620 Toll-like receptor signaling pathway89","404549","Toll-like receptor signaling pathway","Ifna14"
"mmu04620 Toll-like receptor signaling pathway90","53791","Toll-like receptor signaling pathway","Tlr5"
"mmu04620 Toll-like receptor signaling pathway91","54123","Toll-like receptor signaling pathway","Irf7"
"mmu04620 Toll-like receptor signaling pathway92","54131","Toll-like receptor signaling pathway","Irf3"
"mmu04620 Toll-like receptor signaling pathway93","54473","Toll-like receptor signaling pathway","Tollip"
"mmu04620 Toll-like receptor signaling pathway94","56066","Toll-like receptor signaling pathway","Cxcl11"
"mmu04620 Toll-like receptor signaling pathway95","56480","Toll-like receptor signaling pathway","Tbk1"
"mmu04620 Toll-like receptor signaling pathway96","56489","Toll-like receptor signaling pathway","Ikbke"
"mmu04620 Toll-like receptor signaling pathway97","66513","Toll-like receptor signaling pathway","Tab1"
"mmu04620 Toll-like receptor signaling pathway98","68652","Toll-like receptor signaling pathway","Tab2"
"mmu04620 Toll-like receptor signaling pathway99","74769","Toll-like receptor signaling pathway","Pik3cb"
"mmu04620 Toll-like receptor signaling pathway100","81897","Toll-like receptor signaling pathway","Tlr9"
"mmu04621 NOD-like receptor signaling pathway1","100038927","NOD-like receptor signaling pathway","Defa30"
"mmu04621 NOD-like receptor signaling pathway2","100041688","NOD-like receptor signaling pathway","Defa35"
"mmu04621 NOD-like receptor signaling pathway3","100041759","NOD-like receptor signaling pathway","Defa41"
"mmu04621 NOD-like receptor signaling pathway4","100041787","NOD-like receptor signaling pathway","Defa40"
"mmu04621 NOD-like receptor signaling pathway5","100041811","NOD-like receptor signaling pathway","Defa27"
"mmu04621 NOD-like receptor signaling pathway6","100041890","NOD-like receptor signaling pathway","Defa32"
"mmu04621 NOD-like receptor signaling pathway7","100041895","NOD-like receptor signaling pathway","Defa37"
"mmu04621 NOD-like receptor signaling pathway8","100041952","NOD-like receptor signaling pathway","Defa34"
"mmu04621 NOD-like receptor signaling pathway9","100294660","NOD-like receptor signaling pathway","Defa2"
"mmu04621 NOD-like receptor signaling pathway10","100503970","NOD-like receptor signaling pathway","AY761185"
"mmu04621 NOD-like receptor signaling pathway11","100505096","NOD-like receptor signaling pathway","Defa33"
"mmu04621 NOD-like receptor signaling pathway12","100862126","NOD-like receptor signaling pathway","Defa36"
"mmu04621 NOD-like receptor signaling pathway13","101613","NOD-like receptor signaling pathway","Nlrp6"
"mmu04621 NOD-like receptor signaling pathway14","102639543","NOD-like receptor signaling pathway","Ifi206"
"mmu04621 NOD-like receptor signaling pathway15","106025","NOD-like receptor signaling pathway","Sharpin"
"mmu04621 NOD-like receptor signaling pathway16","106759","NOD-like receptor signaling pathway","Ticam1"
"mmu04621 NOD-like receptor signaling pathway17","107607","NOD-like receptor signaling pathway","Nod1"
"mmu04621 NOD-like receptor signaling pathway18","109333","NOD-like receptor signaling pathway","Pkn2"
"mmu04621 NOD-like receptor signaling pathway19","11793","NOD-like receptor signaling pathway","Atg5"
"mmu04621 NOD-like receptor signaling pathway20","11796","NOD-like receptor signaling pathway","Birc3"
"mmu04621 NOD-like receptor signaling pathway21","11797","NOD-like receptor signaling pathway","Birc2"
"mmu04621 NOD-like receptor signaling pathway22","11798","NOD-like receptor signaling pathway","Xiap"
"mmu04621 NOD-like receptor signaling pathway23","11848","NOD-like receptor signaling pathway","Rhoa"
"mmu04621 NOD-like receptor signaling pathway24","12043","NOD-like receptor signaling pathway","Bcl2"
"mmu04621 NOD-like receptor signaling pathway25","12048","NOD-like receptor signaling pathway","Bcl2l1"
"mmu04621 NOD-like receptor signaling pathway26","12362","NOD-like receptor signaling pathway","Casp1"
"mmu04621 NOD-like receptor signaling pathway27","12363","NOD-like receptor signaling pathway","Casp4"
"mmu04621 NOD-like receptor signaling pathway28","12364","NOD-like receptor signaling pathway","Casp12"
"mmu04621 NOD-like receptor signaling pathway29","12370","NOD-like receptor signaling pathway","Casp8"
"mmu04621 NOD-like receptor signaling pathway30","12374","NOD-like receptor signaling pathway","Casr"
"mmu04621 NOD-like receptor signaling pathway31","12675","NOD-like receptor signaling pathway","Chuk"
"mmu04621 NOD-like receptor signaling pathway32","12796","NOD-like receptor signaling pathway","Camp"
"mmu04621 NOD-like receptor signaling pathway33","13030","NOD-like receptor signaling pathway","Ctsb"
"mmu04621 NOD-like receptor signaling pathway34","13057","NOD-like receptor signaling pathway","Cyba"
"mmu04621 NOD-like receptor signaling pathway35","13058","NOD-like receptor signaling pathway","Cybb"
"mmu04621 NOD-like receptor signaling pathway36","13216","NOD-like receptor signaling pathway","Defa1"
"mmu04621 NOD-like receptor signaling pathway37","13218","NOD-like receptor signaling pathway","Defa29"
"mmu04621 NOD-like receptor signaling pathway38","13219","NOD-like receptor signaling pathway","Defa-rs10"
"mmu04621 NOD-like receptor signaling pathway39","13221","NOD-like receptor signaling pathway","Defa-rs12"
"mmu04621 NOD-like receptor signaling pathway40","13222","NOD-like receptor signaling pathway","Defa-rs2"
"mmu04621 NOD-like receptor signaling pathway41","13223","NOD-like receptor signaling pathway","Defa-rs4"
"mmu04621 NOD-like receptor signaling pathway42","13226","NOD-like receptor signaling pathway","Defa31"
"mmu04621 NOD-like receptor signaling pathway43","13236","NOD-like receptor signaling pathway","Defa25"
"mmu04621 NOD-like receptor signaling pathway44","13237","NOD-like receptor signaling pathway","Defa3"
"mmu04621 NOD-like receptor signaling pathway45","13238","NOD-like receptor signaling pathway","Defa4"
"mmu04621 NOD-like receptor signaling pathway46","13239","NOD-like receptor signaling pathway","Defa5"
"mmu04621 NOD-like receptor signaling pathway47","13240","NOD-like receptor signaling pathway","Defa6"
"mmu04621 NOD-like receptor signaling pathway48","14082","NOD-like receptor signaling pathway","Fadd"
"mmu04621 NOD-like receptor signaling pathway49","14468","NOD-like receptor signaling pathway","Gbp2b"
"mmu04621 NOD-like receptor signaling pathway50","14469","NOD-like receptor signaling pathway","Gbp2"
"mmu04621 NOD-like receptor signaling pathway51","14825","NOD-like receptor signaling pathway","Cxcl1"
"mmu04621 NOD-like receptor signaling pathway52","15516","NOD-like receptor signaling pathway","Hsp90ab1"
"mmu04621 NOD-like receptor signaling pathway53","15519","NOD-like receptor signaling pathway","Hsp90aa1"
"mmu04621 NOD-like receptor signaling pathway54","15951","NOD-like receptor signaling pathway","Ifi204"
"mmu04621 NOD-like receptor signaling pathway55","15962","NOD-like receptor signaling pathway","Ifna1"
"mmu04621 NOD-like receptor signaling pathway56","15964","NOD-like receptor signaling pathway","Ifna11"
"mmu04621 NOD-like receptor signaling pathway57","15965","NOD-like receptor signaling pathway","Ifna2"
"mmu04621 NOD-like receptor signaling pathway58","15967","NOD-like receptor signaling pathway","Ifna4"
"mmu04621 NOD-like receptor signaling pathway59","15968","NOD-like receptor signaling pathway","Ifna5"
"mmu04621 NOD-like receptor signaling pathway60","15969","NOD-like receptor signaling pathway","Ifna6"
"mmu04621 NOD-like receptor signaling pathway61","15970","NOD-like receptor signaling pathway","Ifna7"
"mmu04621 NOD-like receptor signaling pathway62","15972","NOD-like receptor signaling pathway","Ifna9"
"mmu04621 NOD-like receptor signaling pathway63","15974","NOD-like receptor signaling pathway","Ifnab"
"mmu04621 NOD-like receptor signaling pathway64","15975","NOD-like receptor signaling pathway","Ifnar1"
"mmu04621 NOD-like receptor signaling pathway65","15976","NOD-like receptor signaling pathway","Ifnar2"
"mmu04621 NOD-like receptor signaling pathway66","15977","NOD-like receptor signaling pathway","Ifnb1"
"mmu04621 NOD-like receptor signaling pathway67","16150","NOD-like receptor signaling pathway","Ikbkb"
"mmu04621 NOD-like receptor signaling pathway68","16151","NOD-like receptor signaling pathway","Ikbkg"
"mmu04621 NOD-like receptor signaling pathway69","16173","NOD-like receptor signaling pathway","Il18"
"mmu04621 NOD-like receptor signaling pathway70","16176","NOD-like receptor signaling pathway","Il1b"
"mmu04621 NOD-like receptor signaling pathway71","16193","NOD-like receptor signaling pathway","Il6"
"mmu04621 NOD-like receptor signaling pathway72","16391","NOD-like receptor signaling pathway","Irf9"
"mmu04621 NOD-like receptor signaling pathway73","16438","NOD-like receptor signaling pathway","Itpr1"
"mmu04621 NOD-like receptor signaling pathway74","16439","NOD-like receptor signaling pathway","Itpr2"
"mmu04621 NOD-like receptor signaling pathway75","16440","NOD-like receptor signaling pathway","Itpr3"
"mmu04621 NOD-like receptor signaling pathway76","16451","NOD-like receptor signaling pathway","Jak1"
"mmu04621 NOD-like receptor signaling pathway77","16476","NOD-like receptor signaling pathway","Jun"
"mmu04621 NOD-like receptor signaling pathway78","170731","NOD-like receptor signaling pathway","Mfn2"
"mmu04621 NOD-like receptor signaling pathway79","17874","NOD-like receptor signaling pathway","Myd88"
